Star,JDs,Radial Velocity
AS205,18661.718657,-8.778284
AS205,18663.708356,-8.112025
AS205,18663.715683,-8.630968000000001
AS205,18663.723032,-10.150103
AS205,18663.73066,-10.170065000000001
AS205,18663.738079,-10.189546
AS205,18663.745498,-8.709054
AS205,18663.859815,-7.487459999999999
AS205,18663.866933,-8.001921
AS205,18664.690405,-8.490233
AS205,18664.717257,-9.559041999999998
AS205,18664.72478,-8.07866
AS205,18664.732245,-9.098208
AS205,18664.776678,-8.214199
AS205,18664.816609,-7.813462999999999
AS205,18664.843461,-7.374818999999999
AS205,18666.705903,-11.863883999999999
AS205,18680.796285,-11.783090999999999
AS205,18707.751111,-3.618182000000001
