Star,JDs,Radial Velocity
HIP34042,18740.019525,115.978433
HIP34042,18740.023507,113.973124
HIP34042,18740.027535,115.96758299999999
HIP34042,18754.04581,117.577832
HIP34042,18754.049815,116.069951
HIP34042,18758.024803,116.479725
HIP34042,18758.028831,116.971935
HIP34042,18758.032766,118.46422
HIP34042,18772.940185,120.458837
HIP34042,18772.94397,120.952517
HIP34042,18772.947778,124.946016
HIP34042,18772.952222,130.938252
HIP34042,18784.926319,119.092742
HIP34042,18784.929907,111.585793
HIP34042,18784.934167,120.077402
HIP34042,18799.052847,115.87885
HIP34042,18799.056794,116.369662
HIP34042,18799.060752,115.860535
HIP34042,18799.064745,118.851422
HIP34042,18851.937685,-56.776081
HIP34042,18851.94191,-56.786018999999996
HIP34042,18851.946134,-56.795815
