Star,JDs,Radial Velocity
HIP20387,18732.935139,15.920762
HIP20387,18732.93912,16.414794
HIP20387,18732.943125,15.908646000000001
HIP20387,18732.947106,15.902395000000002
HIP20387,18748.804769,17.781067
HIP20387,18748.808785,19.2784
HIP20387,18748.812708,17.275599999999997
HIP20387,18762.804734,18.01005
HIP20387,18762.808704,17.505133
HIP20387,18762.812674,17.000038
HIP20387,18777.913808,17.183277999999998
HIP20387,18777.917743,17.173775000000003
HIP20387,18777.921748,17.164078
HIP20387,18777.925718,17.154442
HIP20387,18795.910926,15.729747999999999
HIP20387,18813.764144,15.962394
HIP20387,18859.878009,-22.796055
