Star,JDs,Radial Velocity
EPIC2099,18661.735104,-5.08845
EPIC2099,18663.754016,-5.012376
EPIC2099,18663.772674,-6.560249000000001
EPIC2099,18663.791308,-4.607293
EPIC2099,18663.809259,-7.151384
EPIC2099,18663.835579,-6.712869000000001
EPIC2099,18664.699942,-7.805963
EPIC2099,18664.741667,-9.412197
EPIC2099,18664.760104,-5.959610000000001
EPIC2099,18664.798414,-6.056021000000001
EPIC2099,18664.82515,-5.119618000000001
EPIC2099,18664.852118,-6.678964000000001
EPIC2099,18666.714734,-7.193489
EPIC2099,18683.779861,-4.180178999999999
