JD,order 38 radial velocity (km/s),order 39 radial velocity (km/s),order 40 radial velocity (km/s)
18732.026111,21.739908,19.739908,13.739908
18732.029838,21.233458,17.233458,20.233458
18732.03375,23.72659,22.72659,21.72659
18749.837882,18.251478,19.251478,17.751478
18749.841725,22.749911,18.249911,12.249911
18749.845856,15.248009999999997,15.748009999999997,14.748009999999997
18749.849687,17.746049,20.746049,18.246049
18763.91919,21.459396,20.959396,13.959396000000002
18763.922616,21.953032,20.453032,18.453032
18763.926458,22.445784,20.945784,18.445784
18777.935463,18.084682,18.084682,12.584682
18777.93941,19.575611000000002,21.075611000000002,14.575611000000002
18777.943391,21.0664,21.5664,16.5664
18777.947431,23.056998,22.056998,20.556998
18777.951424,25.547652,20.547652,18.047652
18777.955405,23.538288,22.038288,18.538288
18794.912975,22.072526000000003,21.572526000000003,18.072526000000003
18794.916979,21.062557,20.062557,16.062557
18794.920949,18.552644,18.552644,16.052644
18794.924942,17.042650000000002,19.542650000000002,12.042650000000002
18794.928912,16.532693,18.532693,15.532692999999998
18813.7686,19.201519,19.701519,12.701519000000001
18813.772616,18.193255,20.193255,18.193255
18813.776586,19.184946,19.184946,14.184946
18846.933426,18.469293999999998,21.469293999999998,21.969293999999998
18846.936562,24.463391,17.963391,27.963391
