JD,order 38 radial velocity (km/s),order 39 radial velocity (km/s),order 40 radial velocity (km/s)
18661.735104,-5.08845,-4.08845,-6.08845
18663.754016,-5.012376,-2.5123759999999997,-6.012376
18663.772674,-6.560249000000001,-6.560249000000001,-6.060249000000001
18663.791308,-6.107293,-4.607293,-4.107293
18663.809259,-3.651384,-7.151384,-7.151384
18663.835579,-0.2128690000000013,-7.712869000000001,-6.712869000000001
18664.699942,-7.805963,-5.305963,-8.305963
18664.741667,-4.412197000000001,-9.412197,-13.912197
18664.760104,-3.9596100000000014,-5.959610000000001,-5.959610000000001
18664.798414,-6.056021000000001,-5.056021000000001,-6.556021000000001
18664.82515,-5.119618000000001,-4.119618000000001,-8.119618000000001
18664.852118,-6.678964000000001,-2.1789640000000006,-6.678964000000001
18666.714734,-3.1934889999999996,-7.193489,-7.193489
18683.779861,-1.680178999999999,-5.180178999999999,-4.180178999999999
